Ano;Mes;UF;IMPOSTO SOBRE IMPORTACAO;IMPOSTO SOBRE EXPORTACAO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMOVEIS;IPI - VINCULADO  IMPORTACAO;IPI - OUTROS
2000;Setembro;AM;11926902;336;1483623;1783907;0;2687878;894504
2000;Setembro;BA;14305081;416;4997147;11694624;0;19939889;21589536
2000;Setembro;CE;9794955;90;4130663;3800120;75;2655906;3557723
2000;Setembro;DF;1800325;482;3414927;2713011;115;1400889;1324175
2000;Setembro;ES;80560936;191;3269315;131194;2489640;45671970;5338520
2000;Setembro;GO;10627005;808;3293439;4412216;0;7878796;3256752
2000;Setembro;MA;6289384;209;991048;3149329;0;336195;1462493
2000;Setembro;MT;1308691;977;1648282;2276044;0;433427;574402
2000;Setembro;MS;593533;5018;909999;178946;0;410938;633414
2000;Setembro;MG;41014108;2909;14823673;10741977;62458748;21827361;50514002
2000;Setembro;PA;5204507;125;2480485;1030026;0;1930164;1140628
2000;Setembro;PB;1292549;760;1825291;4515605;0;871920;1907118
2000;Setembro;PR;65080278;1324;1980746;7493165;36882325;38478333;32906543
2000;Setembro;PE;12798370;10;5847884;5354667;0;3274472;10407931
2000;Setembro;PI;493362;224;849376;1770153;0;199281;326614
2000;Setembro;RJ;52578982;664675;22146149;28624073;4206910;27671388;56673951
2000;Setembro;RN;2577750;540;1701165;1211070;207;1377719;405559
2000;Setembro;RS;32663108;4095;24728753;10724376;1415510;19196943;61681980
2000;Setembro;RO;17576;94;686093;0;1324;12742;133438
2000;Setembro;RR;5133;33;274400;0;0;1577;2084
2000;Setembro;SC;16808081;7722;11914272;4425205;852;11810560;22135277
2000;Setembro;SP;408287914;3850;53298373;59714655;124796201;229060523;378417723
2000;Setembro;SE;1078011;57;1018228;4550004;0;466447;1351201
2000;Setembro;TO;211119;316;396233;61489;0;0;79714
2000;Outubro;AC;2390;0;314738;0;0;448;13846
2000;Outubro;AL;986164;18078;1178556;966716;0;112518;794220
2000;Outubro;AP;35860;0;387692;3300;0;31685;2306
2000;Outubro;AM;15264206;0;1501638;3309582;5112;3979148;758876
2000;Outubro;BA;24384640;4979;4963496;14773194;0;23641833;17262102
2000;Outubro;CE;10270635;239;4161148;4187424;75;2343471;5823430
2000;Outubro;DF;3165696;12;3505007;3038855;115;3126913;1711063
2000;Outubro;ES;65033635;86;3038367;550907;2539511;43726397;6091465
2000;Outubro;GO;10918223;1508;3097408;5958219;894044;6476725;4037023
2000;Outubro;MA;7001166;75;997913;2985812;0;153492;1252386
2000;Outubro;MT;802072;10;1638240;2339965;0;796585;750799
2000;Outubro;MS;221903;204;893808;140532;0;128190;662616
2000;Outubro;MG;39463981;152;14596919;12534998;55487434;18153319;46172445
2000;Outubro;PA;4332469;56;2464688;1074706;0;2071214;1064658
2000;Outubro;PB;1329412;10;1692123;8958412;0;589863;3856108
2000;Outubro;PR;74722262;237;1933980;6533256;29513146;41629737;37781028
2000;Outubro;PE;11528059;79;5741222;6210110;0;4134777;11683737
2000;Outubro;PI;642033;52;853863;4947404;0;329945;587522
2000;Outubro;RJ;59914701;441194;23336521;31734225;1732048;27285005;47653923
2000;Outubro;RN;598521;30;1679877;4869717;0;395545;507251
2000;Outubro;RS;41621006;39218;19674950;13180296;7107159;27854388;56386605
2000;Outubro;RO;47339;10;662304;0;4229;19637;192523
2000;Outubro;RR;3771;0;282192;0;0;0;1646
2000;Outubro;SC;17323233;7103;11384424;3921775;836;11342912;24109443
2000;Outubro;SP;440694357;1282;57941082;70680037;136459801;243769801;379766427
2000;Outubro;SE;942759;12;1037751;4655579;0;498468;1529864
2000;Outubro;TO;4468;10;401951;79016;0;2539;77367
2000;Novembro;AC;1147;0;284376;0;0;0;8311
2000;Novembro;AL;432760;18196;1157211;329744;0;114894;691007
2000;Novembro;AP;127195;0;329274;894;1670;77446;1290
2000;Novembro;AM;20821416;352;1387987;1920835;0;5538497;1042765
2000;Novembro;BA;21125777;5080;4719022;11838561;0;24138742;17736901
2000;Novembro;CE;8347809;12;3907088;2730021;75;1868983;4775621
2000;Novembro;DF;2622625;0;2914205;2239187;5707;1934687;1035809
2000;Novembro;ES;80252013;10;3042858;343708;2049504;54338337;8146296
2000;Novembro;GO;13239905;0;3018565;4800506;1138299;8315117;5308436
2000;Novembro;MA;7248789;0;938106;2965473;0;455947;1642039
2000;Novembro;MT;559104;23;1538205;1933462;0;352879;687417
2000;Novembro;MS;301721;1030;891183;97100;0;134248;588681
2000;Novembro;MG;40789804;259;13400584;8981676;65507761;20825714;50976416
2000;Novembro;PA;3586465;0;2282480;1038881;0;2063451;922662
2000;Novembro;PB;1446309;25;1727184;3072350;0;601996;2074114
2000;Novembro;PR;84677541;106;2048020;5078206;28372327;59635802;38551253
2000;Novembro;PE;13877702;0;5171928;5657011;2315;4964851;12845139
2000;Novembro;PI;313335;0;809516;2026336;0;123942;342704
2000;Novembro;RJ;62012059;372;21590909;27172399;10977;38457637;50633333
2000;Novembro;RN;773206;0;1687828;1417950;16787;453321;441440
2000;Novembro;RS;33057170;12984;21168099;11713696;3478037;21190102;51703396
2000;Novembro;RO;189437;15;634794;0;2244;65286;156624
2000;Novembro;RR;4908;0;262657;0;0;0;3219
2000;Novembro;SC;19309605;15758;11289635;4390004;0;12462688;24104291
2000;Novembro;SP;455151686;56889;53040866;59011942;116234439;239200918;384936124
2000;Novembro;SE;1055592;36;972701;3046896;0;513062;1386808
2000;Novembro;TO;34805;0;380767;73265;0;15717;69705
2000;Dezembro;AC;784;0;313571;0;0;111;7409
2000;Dezembro;AL;777384;18307;1325248;620818;0;268187;777609
2000;Dezembro;AP;15200;0;381309;2592;0;5163;1494
2000;Dezembro;AM;15752593;0;1600651;2085289;0;2286068;913264
2000;Dezembro;BA;20814010;177;5201254;13985881;23;28087554;18178666
2000;Dezembro;CE;8231357;0;4273035;2997553;75;3148428;4748816
2000;Dezembro;DF;2136412;0;3349351;3896000;518;1176076;1027971
2000;Dezembro;ES;66339024;0;3221381;665945;3514705;55409909;11051796
2000;Dezembro;GO;5722414;17923;3228451;4693800;3714882;3444976;4186923
2000;Dezembro;MA;9544244;12;1020092;3290325;0;1011013;1351158
2000;Dezembro;MT;236193;8316;1661386;2675643;0;403139;1061701
2000;Dezembro;MS;259244;25416;917286;228824;0;266522;593209
2000;Dezembro;MG;39608805;63619;13141105;12642606;78988970;23198741;59626141
2000;Dezembro;PA;1741173;3329;2518388;1543147;0;1432616;1059545
2000;Dezembro;PB;1118784;0;1783796;4230592;0;341796;2129598
2000;Dezembro;PR;78551066;99927;3284871;6937696;41646297;60278076;46725937
2000;Dezembro;PE;9639601;6903;6111806;6579956;0;4909610;14096306
2000;Dezembro;PI;393022;0;845489;2412682;0;109262;654015
2000;Dezembro;RJ;61673478;220;24068639;35400942;0;28921704;63138992
2000;Dezembro;RN;966555;0;1770885;1410366;294;832368;730403
2000;Dezembro;RS;27589876;200439;27811229;16821154;9565529;18290602;58384152
2000;Dezembro;RO;73796;0;694131;0;1221;32493;131514
2000;Dezembro;RR;1370;0;253024;0;0;516;3447
2000;Dezembro;SC;12857235;0;12049328;6999219;0;6600556;27345233
2000;Dezembro;SP;420345209;392844;58093763;71248609;155096784;202645461;482484953
2000;Dezembro;SE;1343908;0;1143359;3861885;0;532679;1439669
2000;Dezembro;TO;4893;0;408056;54630;0;137;102475
2001;Janeiro;AC;1550;0;308107;0;0;0;5511
2001;Janeiro;AL;922151;18417;1411436;700349;0;141289;653682
2001;Janeiro;AP;43899;0;410684;2663;0;8351;3387
2001;Janeiro;AM;11919460;0;1507654;2046908;0;2367376;2697791
2001;Janeiro;BA;17054760;39461;5506777;16226445;135;27528269;16530040
2001;Janeiro;CE;6086401;12662;4605309;4437707;75;2429275;3502331
2001;Janeiro;DF;2444176;0;3021753;3565256;115;894441;881108
2001;Janeiro;ES;59868279;294;3608507;529499;4656115;38758877;4413170
2001;Janeiro;GO;11188403;11692;3450854;6183507;0;8357529;2864031
2001;Janeiro;MA;540481;7412;1045734;3389374;0;399680;1576699
2001;Janeiro;MT;359104;52371;1528573;3276994;0;116905;513844
2001;Janeiro;MS;169613;101692;873351;83165;0;233466;604178
2001;Janeiro;MG;37429056;230873;14034507;13578314;45971248;22404149;44778576
2001;Janeiro;PA;2068019;62037;2348721;770602;3354;1476901;1368765
2001;Janeiro;PB;1254258;0;1984658;5036921;0;536534;2125191
2001;Janeiro;PR;75215089;419369;1322033;7970295;21794791;41330831;28811668
2001;Janeiro;PE;9000170;35949;6142849;8167648;0;5171009;10329586
2001;Janeiro;PI;482444;25484;913017;2594563;0;167734;454202
2001;Janeiro;RJ;47.953.915;14;21.567.552;35.659.875;1.294.086;23.426.622;52.123.187
2001;Janeiro;RN;1.303.793;0;1.897.231;1.857.044;0;658,925;975,823
2001;Janeiro;RS;30.203.993;819,492;16.910.824;13.406.051;7.449.700;17.827.072;40.803.389
2001;Janeiro;RO;124,107;0;669;0;32;56,769;122,119
2001;Janeiro;RR;64;0;282,911;0;0;5,244;2,396
2001;Janeiro;SC;12.511.359;56,015;13.140.106;6.100.588;510,697;6.474.176;19.682.918
2001;Janeiro;SP;391.353.530;1.425.403;61.650.332;70.268.863;81.542.895;159.923.831;326.318.908
2001;Janeiro;SE;1.342.936;0;1.075.020;3.953.451;0;701,318;1.201.640
2001;Janeiro;TO;9,448;0;399,131;112,103;0;12,4;43,941
2001;Fevereiro;AC;94;0;310488;0;0;2000;20363
2001;Fevereiro;AL;485189;1174042;1426000;1309834;0;107183;645425
2001;Fevereiro;AP;191986;0;395057;3610;0;29728;1738
2001;Fevereiro;AM;11018535;0;1488051;1251938;0;2332760;794347
2001;Fevereiro;BA;15256193;166153;5594784;16111808;0;23314815;18173216
2001;Fevereiro;CE;5112496;39331;4551897;6420237;70595;2113006;4087614
2001;Fevereiro;DF;2579490;0;3188262;3243900;115;1225957;989547
2001;Fevereiro;ES;50998069;52;3548130;604879;2040984;27532701;5633109
2001;Fevereiro;GO;6341047;19970;3491748;4821519;1779468;4174275;3264419
2001;Fevereiro;MA;1460563;0;1092860;2645445;0;279723;2321694
2001;Fevereiro;MT;223013;149718;1502805;2615408;0;88787;649572
2001;Fevereiro;MS;479472;94485;901933;380779;0;146341;599111
2001;Fevereiro;MG;28888526;114850;14745863;14734354;36451624;15093577;54329583
2001;Fevereiro;PA;3108650;64835;2065681;883908;0;1662687;1020172
2001;Fevereiro;PB;670038;0;1985892;4188090;0;224334;2261556
2001;Fevereiro;PR;61721746;581631;2917241;8618376;40815931;30957369;31742029
2001;Fevereiro;PE;7322746;35307;6568288;5579133;3304;3908921;13280524
2001;Fevereiro;PI;451757;136115;912851;1786392;0;173243;278037
2001;Fevereiro;RJ;44.102.078;0;25.081.311;39.830.008;5.367.749;23.791.851;62.752.256
2001;Fevereiro;RN;988,739;21,558;1.903.663;1.297.212;0;415,636;439,24
2001;Fevereiro;RS;21.951.148;730,197;23.229.065;14.800.517;8.912.727;14.374.769;45.600.792
2001;Fevereiro;RO;49,293;118,773;669,709;0;32;30,176;158,803
2001;Fevereiro;RR;852;0;322,102;0;0;1,913;5,866
2001;Fevereiro;SC;11.339.182;28,835;13.147.252;5.442.679;0;5.401.803;24.112.843
2001;Fevereiro;SP;318.869.964;1.644.241;58.361.941;79.360.801;130.540.665;131.551.074;410.143.936
2001;Fevereiro;SE;1.131.699;73,147;1.208.986;3.985.524;0;619,076;1.509.117
2001;Fevereiro;TO;1,899;13;444,742;94,758;0;1,112;88,497
2001;Maro;AC;1332;112897;266259;0;0;48;9050
2001;Maro;AL;520562;18626;1141011;586968;0;168232;446315
2001;Maro;AP;21378;0;357308;1340;0;6077;3162
2001;Maro;AM;15172835;13;1269011;1343633;1763;3838212;577772
2001;Maro;BA;16211746;416675;4674229;9865796;0;23713644;13916960
2001;Maro;CE;9830701;60582;3735758;2938258;53454;3909631;3059602
2001;Maro;DF;2059260;415;2756290;2391136;115;1895624;718108
2001;Maro;ES;79397911;0;2914807;527180;2622316;51962987;4980214
2001;Maro;GO;11266234;20312;2904188;4080045;2536052;7675425;3362549
2001;Maro;MA;1021288;0;801983;2172194;0;646638;1089452
2001;Maro;MT;516966;85566;1380051;2231066;0;373834;589557
2001;Maro;MS;346754;66958;804541;195076;0;99677;545946
2001;Maro;MG;46445947;234610;12026875;9051186;6846968;29429347;46921512
2001;Maro;PA;2369475;64051;1757460;677906;0;997504;724725
2001;Maro;PB;1241238;0;1581899;3365200;0;260298;1846044
2001;Maro;PR;81336711;237503;2027242;6310342;42625862;52462540;30165950
2001;Maro;PE;8837778;31797;5348701;4964795;0;4925711;9801754
2001;Maro;PI;265294;102038;688480;1445197;0;208417;270249
