Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
fcd23a4fad6f4bc8e4496d0868143a41;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/SJK/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
fee75b05309b665fb5a6ec3b56dda5e1;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8380683b6279ff28e82fe45f5aaf13cf;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b4787786df627f8f7e25b35f1a950263;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
73d52148e76905c1ce1afec24fd1d518;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
28c6e870b04cc71063977a1f474bc16f;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/CRA/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
dbad507087059fcdbf1f3f10f21e1d9b;05/12/2023;05/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$121.919,00;;;;0;0;0;0;0;0;0;0;0;0
efd06bdcbeb333942728c00b0cc2f4f3;05/12/2023;05/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$1.435.736,00;;;;0;0;0;0;0;0;0;0;0;0
8966c43f9e5bdc2365f0b745971bf846;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;GO;SR/PF/GO                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
37c97fad5d18234d96c04bf58bc78fb0;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f53f265a551ce91a2dbbb8941b2cb715;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Armas                                                                                                                ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
7cb5fe1e506dcfb3d3ad848ee37ad4bc;05/12/2023;05/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
6e4122b6a7be2b950ff399931245205b;05/12/2023;05/12/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;PR;DPF/LDA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
14cac0ac773bae7e9ac79b7bb6740db5;05/12/2023;05/12/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;PR;DPF/MGA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f1cedecfe9505b75dd962dff90cf9ccd;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Armas                                                                                                                ;PR;DPF/FIG/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
0141ba37214748e6d80a74ec75f08a93;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Armas                                                                                                                ;PR;DPF/PGZ/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
6558f2cfead2ea5cb8fadffec7331989;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;PR;DPF/GRA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4d90dfc94eec0585c748e9b6c6899d95;05/12/2023;05/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;SR/PF/RS                                                        ;Nao;                                                                                                                                ;3;0;0;0;R$318.619,00;;;;0;0;0;0;0;0;0;0;0;0
9439f1dded6e4cee7a2c49b5b8105ee8;05/12/2023;05/12/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;TO;SR/PF/TO                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
d810db6db576af317bcdbcfd670763c1;05/12/2023;05/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;SC;DPF/IJI/SC                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$215,00;;;;0;0;0;0;0;0;0;0;0;0
fbcd858f54bb62eac7978bb37ccc5a40;05/12/2023;05/12/2023;Operacao Simples ;Crimes de Ódio e Pornografia Infantil                                                                                           ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
7091355d60a9dabe00f26cbf784137e6;05/12/2023;05/12/2023;Operacao Simples ;Crimes de Ódio e Pornografia Infantil                                                                                           ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
41b15631caaa37b811afcc0a3a6db9f4;05/12/2023;05/12/2023;Operacao Simples ;Tráfico de Armas                                                                                                                ;RJ;SR/PF/RJ                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3dac889eedf559516f9f2f7d94367c0c;05/12/2023;05/12/2023;Operacao Comum   ;Tráfico de Armas                                                                                                                ;RS;DPF/SAG/RS                                                      ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
84109e98c1294406c993c27af1eb4ba7;05/12/2023;05/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/GPB/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$388.013,00;;;R$964.926,00;0;0;0;0;0;0;0;0;0;0
e8a16849350e717c1059b66d76153e08;05/12/2023;05/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;DPF/PFO/RS                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$58.210,77;;;R$7.067,86;0;0;0;0;0;0;0;0;0;0
1991e7a6d0f92fb291b0456e4c439531;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;PR;DPF/GRA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
9f953d1c7160411d31f8d6db6b92b891;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Armas                                                                                                                ;PR;DPF/FIG/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
e25a60df8c7899b27cd80c0140532e24;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Armas                                                                                                                ;PR;DPF/PGZ/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
