codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
82772;PTXPN;***;AVIÃO;AIRBUS S.A.S.;A321-211;A320;***;***;89000;89000;NULL;2016;BRASIL;BRASIL;AVIÃO;REGULAR;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82771;PRYRL;***;AVIÃO;AIRBUS S.A.S;A320-253N;A20N;***;***;0;0;NULL;NULL;BRASIL;BRASIL;AVIÃO;REGULAR;ALTAMIRA;VAL DE CANS / JÚLIO CEZAR RIBEIRO;POUSO;REGULAR;NENHUM;0
82770;PRYRQ;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;170;0;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;GUARARAPES - GILBERTO FREYRE;DECOLAGEM;REGULAR;NENHUM;0
82769;PSAEJ;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;;BIMOTOR;2154;2154;0;0;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;CATARATAS;POUSO;REGULAR;NENHUM;0
82768;PPPTN;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;22500;22500;73;2008;BRASIL;BRASIL;AVIÃO;REGULAR;LAURO CARNEIRO DE LOYOLA;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82767;PRGYA;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;187;0;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;CATARATAS;POUSO;REGULAR;NENHUM;0
82766;PTTMO;***;AVIÃO;AIRBUS INDUSTRIE;A319-132;A319;JATO;BIMOTOR;70000;70000;0;2011;BRASIL;BRASIL;AVIÃO;REGULAR;EURICO DE AGUIAR SALLES;PRESIDENTE JUSCELINO KUBITSCHEK;DECOLAGEM;REGULAR;LEVE;0
82765;PRMYX;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2012;BRASIL;BRASIL;AVIÃO;REGULAR;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82764;PTMXM;***;AVIÃO;AIRBUS INDUSTRIE;A321-231;A321;TURBOEIXO;BIMOTOR;89000;89000;231;0;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;EDUARDO GOMES;DECOLAGEM;REGULAR;NENHUM;0
82763;PRAUJ;***;AVIÃO;EMBRAER;ERJ 190-200 LR;E190;JATO;BIMOTOR;50790;50790;125;0;BRASIL;BRASIL;AVIÃO;REGULAR;HERCÍLIO LUZ;SALGADO FILHO;POUSO;REGULAR;NENHUM;0
